task_id,grid_h,grid_w,n_cells_total,n_cells_nonbg,frac_nonbg,n_colors_output,n_colors_input,n_new_colors,n_success_cc,mean_cc_area,max_cc_area,input_out_size_ratio,symmetry_h,symmetry_v,symmetry_d,used_copy_mean,n_showex_mean,n_reset_mean,n_edits_mean,n_chunks_random_k3,afforded_random_k3,n_chunks_color_first,afforded_color_first,n_chunks_nn_color_first,afforded_nn_color_first,n_chunks_object_first,afforded_object_first,n_chunks_row_first,afforded_row_first,n_chunks_col_first,afforded_col_first,n_afforded,n_subjects,n_distinct_strategies_chosen,human_entropy_bits,dominant_frac,dominant_strategy
1e0a9b12,5,5,25,9,0.36,5,5,0,1,9.0,9,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.743455497382199,1.3350785340314135,1.1465968586387434,11.465968586387437,3,1,5,1,5,1,5,1,3,1,5,1,6,63,2,0.7642045065086203,0.7777777777777778,row_first
1e32b0e9,17,17,289,136,0.47058823529411764,2,2,0,10,13.6,64,1.0,0.7941176470588235,0.7941176470588235,0.8823529411764706,0.9193548387096774,4.629032258064516,1.2043010752688172,71.05376344086021,46,1,2,1,2,1,22,1,17,1,17,1,6,180,4,1.5081421582882597,0.5888888888888889,object_first
1f0c79e5,9,9,81,24,0.2962962962962963,1,2,0,1,24.0,24,1.0,0.20833333333333334,0.20833333333333334,0.0,0.9278350515463918,5.525773195876289,1.5,41.01030927835052,8,1,1,0,1,0,1,0,7,1,7,1,3,187,3,1.479586405485548,0.5187165775401069,col_first
1f642eb9,10,10,100,23,0.23,7,7,0,7,3.2857142857142856,16,1.0,0.08695652173913043,0.17391304347826086,0.21739130434782608,0.9214659685863874,1.5287958115183249,1.0418848167539267,11.675392670157068,8,1,7,1,7,1,15,1,6,1,6,1,6,63,5,2.02796102018813,0.3333333333333333,col_first
1f876c06,10,10,100,24,0.24,5,5,0,20,1.2,3,1.0,0.0,0.0,0.25,0.9547738693467336,1.4321608040201006,1.0251256281407035,15.949748743718592,8,1,5,1,5,1,24,1,10,1,10,1,6,195,4,0.7537476114045926,0.8358974358974359,random_k3
21f83797,13,13,169,80,0.47337278106508873,2,1,1,1,80.0,80,1.0,0.625,0.675,0.3,0.9329896907216496,2.2268041237113403,1.3041237113402062,113.26288659793816,27,1,2,1,2,1,2,1,13,1,13,1,6,191,2,0.8371496928899813,0.7329842931937173,col_first
23581191,9,9,81,32,0.3950617283950617,3,2,1,1,32.0,32,1.0,0.71875,0.4375,0.09375,0.9333333333333332,2.7435897435897436,1.2461538461538462,50.246153846153845,11,1,3,1,3,1,8,1,9,1,9,1,6,189,4,0.27108758300096936,0.9629629629629629,object_first
2546ccf6,26,23,598,214,0.35785953177257523,4,4,0,5,42.8,202,1.0,0.7383177570093458,0.3644859813084112,1.0,0.9533678756476685,1.217616580310881,1.072538860103627,25.29015544041451,72,1,4,1,4,1,21,1,26,1,23,1,6,190,4,1.322799818204297,0.6526315789473685,object_first
2bcee788,10,10,100,8,0.08,1,2,0,1,8.0,8,1.0,0.25,0.5,0.25,0.918918918918919,2.708108108108108,1.2324324324324325,95.6054054054054,3,1,1,0,1,0,1,0,3,1,4,1,3,178,3,1.5327513722863053,0.4157303370786517,row_first
2bee17df,14,14,196,133,0.6785714285714286,3,2,1,3,44.333333333333336,113,1.0,0.49624060150375937,0.5413533834586466,0.7142857142857143,0.9318181818181818,3.153409090909091,1.318181818181818,106.4034090909091,45,1,3,1,3,1,14,1,14,1,14,1,6,170,5,1.9482071101384277,0.4294117647058823,object_first
2c608aff,19,21,399,75,0.18796992481203006,2,2,0,5,15.0,71,1.0,0.56,0.38666666666666666,1.0,0.9424083769633508,1.7539267015706803,1.057591623036649,47.225130890052355,25,1,2,1,2,1,10,1,17,1,18,1,6,188,3,1.0377760358477157,0.7340425531914894,col_first
2dd70a9a,13,13,169,51,0.30177514792899407,3,3,0,12,4.25,31,1.0,0.37254901960784315,0.19607843137254902,0.19607843137254902,0.9285714285714286,1.9846938775510203,1.1785714285714286,18.862244897959183,17,1,3,1,3,1,20,1,13,1,13,1,6,148,5,2.158430756724546,0.28378378378378377,row_first
32597951,17,17,289,113,0.39100346020761245,3,2,1,84,1.3452380952380953,30,1.0,0.23893805309734514,0.1504424778761062,0.7699115044247787,0.9526315789473684,1.6263157894736842,1.105263157894737,17.736842105263158,38,1,3,1,3,1,101,1,17,1,17,1,6,74,4,0.9853220829711717,0.7972972972972973,random_k3
3aa6fb7a,7,7,49,16,0.32653061224489793,2,1,1,4,4.0,4,1.0,0.25,0.25,0.4375,0.9387755102040816,1.1326530612244898,1.0051020408163265,4.836734693877551,6,1,2,1,2,1,8,1,7,1,6,1,6,20,4,1.0219280948873621,0.8,random_k3
3ac3eb23,6,12,72,27,0.375,3,3,0,24,1.125,2,1.0,0.0,0.0,1.0,0.9375,1.7291666666666667,1.0208333333333333,25.770833333333332,9,1,3,1,3,1,27,1,6,1,9,1,6,187,5,0.663668812415285,0.8663101604278075,random_k3
3befdf3e,12,12,144,69,0.4791666666666667,2,2,0,2,34.5,48,1.0,0.11594202898550725,0.11594202898550725,1.0,0.9032258064516128,4.172043010752688,1.032258064516129,72.41397849462365,23,1,2,1,2,1,12,1,12,1,12,1,6,184,4,0.3478746052566986,0.9510869565217391,object_first
3eda0437,4,24,96,51,0.53125,2,1,2,10,5.1,30,1.0,0.39215686274509803,0.43137254901960786,1.0,0.9411764705882352,2.401069518716578,1.074866310160428,18.513368983957218,17,1,2,1,2,1,13,1,4,1,24,1,6,106,4,0.9010406112711634,0.8301886792452831,col_first
4258a5f9,9,9,81,41,0.5061728395061729,2,1,1,8,5.125,27,1.0,0.4146341463414634,0.6097560975609756,0.43902439024390244,0.9312169312169312,1.3703703703703705,1.0158730158730158,41.285714285714285,14,1,2,1,2,1,8,1,9,1,8,1,6,184,4,0.7580101961186041,0.8641304347826086,random_k3
42a15761,11,19,209,59,0.2822966507177033,1,1,0,19,3.1052631578947367,11,1.0,0.8983050847457628,0.9152542372881356,1.0,0.9112426035502958,1.863905325443787,1.106508875739645,31.78698224852071,20,1,1,0,1,0,19,1,11,1,9,1,4,148,4,1.4667389161298119,0.6486486486486487,col_first
4b6b68e5,26,24,624,277,0.4439102564102564,6,7,0,4,69.25,89,1.0,0.0,0.01444043321299639,1.0,0.9414893617021276,2.606382978723404,1.053191489361702,193.75,93,1,6,1,6,1,7,1,23,1,19,1,6,184,4,1.8533401043749511,0.3804347826086957,row_first
5168d44c,7,17,119,17,0.14285714285714285,2,2,0,7,2.4285714285714284,11,1.0,0.5294117647058824,0.17647058823529413,1.0,0.9424083769633508,1.6230366492146595,1.094240837696335,14.8848167539267,6,1,2,1,2,1,10,1,3,1,11,1,6,188,3,0.6805487327108042,0.8563829787234043,row_first
55783887,19,16,304,33,0.10855263157894737,2,2,0,33,1.0,1,1.0,0.06060606060606061,0.12121212121212122,1.0,0.9534883720930232,3.854651162790698,1.430232558139535,46.26162790697674,11,1,2,1,2,1,33,1,15,1,14,1,6,166,5,1.8097944917062703,0.3795180722891566,random_k3
5c0a986e,10,10,100,14,0.14,2,2,0,8,1.75,4,1.0,0.0,0.0,0.0,0.93,2.19,1.115,9.63,5,1,2,1,2,1,8,1,10,1,6,1,6,186,4,1.4082192092594006,0.5967741935483871,col_first
6455b5f5,13,16,208,121,0.5817307692307693,3,1,2,1,121.0,121,1.0,0.4297520661157025,0.5371900826446281,1.0,0.9513513513513514,2.902702702702703,1.1027027027027028,100.08108108108108,41,1,3,1,3,1,5,1,13,1,16,1,6,181,5,1.070889228217567,0.7016574585635359,col_first
69889d6e,10,10,100,18,0.18,2,2,0,1,18.0,18,1.0,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.9206349206349206,4.116402116402116,1.1746031746031746,23.396825396825395,6,1,2,1,2,1,3,1,7,1,9,1,6,168,4,1.473111263802636,0.5595238095238095,row_first
6a1e5592,10,15,150,58,0.38666666666666666,2,2,1,1,58.0,58,1.0,0.8103448275862069,0.0,1.0,0.9421052631578948,2.2842105263157895,1.1578947368421053,77.11578947368422,20,1,2,1,2,1,4,1,5,1,15,1,6,190,3,0.860619078210709,0.7421052631578947,col_first
6d58a25d,20,20,400,68,0.17,2,2,0,18,3.7777777777777777,51,1.0,0.029411764705882353,0.4411764705882353,0.17647058823529413,0.9613259668508288,1.5359116022099448,1.160220994475138,56.651933701657455,23,1,2,1,2,1,21,1,19,1,17,1,6,181,3,1.1489050686596873,0.5303867403314917,col_first
6ea4a07e,3,3,9,4,0.4444444444444444,1,1,1,2,2.0,2,1.0,0.5,0.5,0.5,0.6834170854271356,2.472361809045226,1.105527638190955,8.457286432160805,2,1,1,0,1,0,2,1,2,1,3,1,4,145,4,1.416767712704615,0.5862068965517241,color_first
73251a56,21,21,441,217,0.49206349206349204,8,9,0,23,9.434782608695652,98,1.0,0.15668202764976957,0.15668202764976957,1.0,0.9518716577540108,4.2994652406417115,1.2192513368983957,81.73262032085562,73,1,8,1,8,1,59,1,21,1,21,1,6,182,3,0.41979989644778454,0.9230769230769231,object_first
73c3b0d8,12,8,96,13,0.13541666666666666,2,2,0,5,2.6,9,1.0,0.6153846153846154,0.0,1.0,0.9302325581395348,3.1686046511627906,1.1569767441860466,12.755813953488373,5,1,2,1,2,1,6,1,5,1,8,1,6,124,3,0.8969172542153274,0.7661290322580645,random_k3
7447852a,3,25,75,43,0.5733333333333334,2,1,1,9,4.777777777777778,9,1.0,1.0,0.3953488372093023,1.0,0.9481865284974094,2.5906735751295336,1.1709844559585492,27.357512953367877,15,1,2,1,2,1,30,1,3,1,25,1,6,189,3,0.998937039691492,0.6190476190476191,random_k3
74dd1130,3,3,9,5,0.5555555555555556,2,2,0,1,5.0,5,1.0,1.0,0.4,0.2,0.5664739884393064,2.647398843930636,1.3757225433526012,11.531791907514451,2,1,2,1,2,1,3,1,2,1,3,1,6,151,4,1.2162494227506058,0.609271523178808,col_first
7df24a62,23,23,529,86,0.16257088846880907,2,2,0,19,4.526315789473684,25,1.0,0.26744186046511625,0.27906976744186046,0.2558139534883721,0.9574468085106383,1.6542553191489362,1.122340425531915,47.723404255319146,29,1,2,1,2,1,28,1,17,1,18,1,6,184,4,0.7803971415067888,0.8532608695652174,col_first
82819916,14,10,140,50,0.35714285714285715,6,6,0,5,10.0,10,1.0,0.4,0.0,1.0,0.9234972677595628,1.819672131147541,1.1092896174863387,35.71584699453552,17,1,6,1,6,1,40,1,5,1,10,1,6,178,5,0.9072883590757594,0.8146067415730337,col_first
834ec97d,12,12,144,25,0.1736111111111111,2,1,1,6,4.166666666666667,5,1.0,0.0,0.0,0.16,0.9109947643979056,3.753926701570681,1.193717277486911,33.05759162303665,9,1,2,1,2,1,7,1,5,1,6,1,6,186,4,1.2161892875051241,0.7258064516129032,row_first
8cb8642d,19,24,456,137,0.30043859649122806,6,6,0,22,6.2272727272727275,44,1.0,0.029197080291970802,0.24087591240875914,1.0,0.9367816091954024,4.522988505747127,1.091954022988506,175.63793103448276,46,1,6,1,6,1,34,1,17,1,21,1,6,167,5,1.480679762232594,0.49101796407185627,color_first
90f3ed37,15,10,150,35,0.23333333333333334,2,1,1,6,5.833333333333333,8,1.0,0.34285714285714286,0.0,1.0,0.9333333333333332,1.764102564102564,1.0769230769230769,19.16923076923077,12,1,2,1,2,1,8,1,6,1,10,1,6,174,4,1.161318708908103,0.7126436781609196,col_first
93b581b8,6,6,36,16,0.4444444444444444,4,4,0,5,3.2,4,1.0,0.0,0.0,0.3125,0.9378238341968912,2.621761658031088,1.0362694300518134,15.305699481865284,6,1,4,1,4,1,8,1,5,1,6,1,6,186,3,0.48864163192476534,0.9032258064516129,object_first
96a8c0cd,13,29,377,81,0.21485411140583555,3,3,0,6,13.5,66,1.0,0.07407407407407407,0.37037037037037035,1.0,0.9456521739130436,4.146739130434782,1.3641304347826086,83.20652173913044,27,1,3,1,3,1,14,1,12,1,29,1,6,177,4,0.3897192754131085,0.9378531073446328,col_first
9ddd00f0,19,19,361,121,0.33518005540166207,1,1,1,17,7.117647058823529,105,1.0,1.0,1.0,1.0,0.9438202247191012,1.9438202247191012,1.1067415730337078,159.41573033707866,41,1,1,0,1,0,17,1,19,1,19,1,4,174,4,1.962746587947262,0.3275862068965517,random_k3
9dfd6313,6,6,36,13,0.3611111111111111,5,5,0,5,2.6,5,1.0,0.0,0.15384615384615385,0.46153846153846156,0.8539325842696629,3.651685393258427,1.3089887640449438,21.337078651685392,5,1,5,1,5,1,10,1,6,1,6,1,6,164,4,1.784174521442773,0.35365853658536583,random_k3
a1570a43,10,8,80,16,0.2,2,2,0,5,3.2,12,1.0,0.25,0.5,1.0,0.898876404494382,1.5786516853932584,1.1179775280898876,25.617977528089888,6,1,2,1,2,1,5,1,7,1,7,1,6,166,3,1.322312932321858,0.6265060240963856,row_first
a3df8b1e,10,5,50,10,0.2,1,1,0,10,1.0,1,1.0,0.2,0.0,1.0,0.8186274509803921,1.7450980392156863,1.1225490196078431,12.147058823529411,4,1,1,0,1,0,10,1,10,1,5,1,4,120,2,0.7837769474847011,0.7666666666666667,random_k3
baf41dbf,16,17,272,50,0.18382352941176472,2,2,0,1,50.0,50,1.0,0.54,0.32,1.0,0.9347826086956522,3.3043478260869565,1.184782608695652,85.84239130434783,17,1,2,1,2,1,4,1,11,1,13,1,6,176,3,1.256600167546758,0.5454545454545454,col_first
bcb3040b,18,18,324,171,0.5277777777777778,3,2,2,36,4.75,29,1.0,0.42105263157894735,0.4327485380116959,0.543859649122807,0.9408602150537636,1.8655913978494625,1.1236559139784943,23.231182795698924,57,1,3,1,3,1,56,1,18,1,18,1,6,164,4,0.8587186662058311,0.823170731707317,random_k3
c0f76784,12,12,144,50,0.3472222222222222,4,1,3,3,16.666666666666668,25,1.0,0.44,0.16,0.7,0.9278350515463918,2.345360824742268,1.0103092783505154,18.123711340206185,17,1,4,1,4,1,6,1,10,1,10,1,6,193,4,0.6431812165955041,0.8963730569948186,color_first
c444b776,19,29,551,113,0.20508166969147004,4,4,0,34,3.323529411764706,68,1.0,0.7876106194690266,0.6283185840707964,1.0,0.9411764705882352,1.4919786096256684,1.074866310160428,49.57754010695187,38,1,4,1,4,1,43,1,19,1,29,1,6,179,4,1.2725192473320228,0.5251396648044693,random_k3
c8f0f002,3,5,15,7,0.4666666666666667,2,2,0,4,1.75,4,1.0,0.42857142857142855,0.2857142857142857,1.0,0.9263157894736842,1.436842105263158,1.0157894736842106,8.863157894736842,3,1,2,1,2,1,6,1,3,1,5,1,6,73,2,0.9505668528932195,0.6301369863013698,random_k3
ca8f78db,30,30,900,390,0.43333333333333335,7,8,0,60,6.5,7,1.0,0.0,0.0,0.14615384615384616,0.968421052631579,1.0421052631578946,1.0473684210526315,106.37368421052632,130,1,7,1,7,1,390,1,15,1,26,1,6,185,5,1.377363187380853,0.6702702702702703,col_first
ce9e57f2,11,9,99,26,0.26262626262626265,2,1,1,4,6.5,10,1.0,0.23076923076923078,0.15384615384615385,1.0,0.905,2.78,1.01,16.295,9,1,2,1,2,1,8,1,10,1,4,1,6,191,3,0.28484848557341,0.9581151832460733,row_first
d364b489,10,10,100,30,0.3,5,1,4,7,4.285714285714286,5,1.0,0.06666666666666667,0.0,0.16666666666666666,0.9263157894736842,3.0894736842105264,1.0315789473684212,24.0,10,1,5,1,5,1,30,1,10,1,10,1,6,183,5,1.6080271767532734,0.5245901639344263,row_first
d43fd935,10,10,100,20,0.2,3,3,0,7,2.857142857142857,14,1.0,0.0,0.2,0.05,0.9329896907216496,1.5824742268041236,1.0463917525773196,9.288659793814434,7,1,3,1,3,1,10,1,10,1,6,1,6,193,4,0.6433006298616742,0.8756476683937824,row_first
d511f180,4,4,16,11,0.6875,7,7,1,1,11.0,11,1.0,0.0,0.18181818181818182,0.2727272727272727,0.8913043478260869,1.7934782608695652,1.0271739130434785,8.228260869565217,4,1,7,1,7,1,9,1,4,1,4,1,6,168,3,1.3300373644335899,0.47023809523809523,row_first
d5d6de2d,10,10,100,25,0.25,1,1,1,2,12.5,24,1.0,0.96,0.0,0.4,0.8756218905472637,1.4129353233830846,1.109452736318408,58.92537313432836,9,1,1,0,1,0,2,1,5,1,7,1,4,199,3,1.210405779647711,0.6532663316582915,col_first
d9f24cd1,10,10,100,35,0.35,2,2,0,3,11.666666666666666,12,1.0,0.34285714285714286,0.5142857142857142,0.3142857142857143,0.9536082474226804,1.845360824742268,1.0721649484536082,34.68556701030928,12,1,2,1,2,1,6,1,10,1,6,1,6,191,4,1.6173070803363128,0.45549738219895286,row_first
e69241bd,9,9,81,49,0.6049382716049383,4,4,1,9,5.444444444444445,11,1.0,0.30612244897959184,0.40816326530612246,0.22448979591836735,0.9398907103825136,1.3825136612021858,1.0163934426229508,22.57377049180328,17,1,4,1,4,1,9,1,9,1,9,1,6,179,3,1.2440669605046064,0.6703910614525139,random_k3
e8593010,10,10,100,28,0.28,3,1,3,15,1.8666666666666667,3,1.0,0.0,0.35714285714285715,0.25,0.9239130434782608,2.4565217391304346,1.0326086956521738,31.494565217391305,10,1,3,1,3,1,15,1,10,1,9,1,6,181,4,1.351715967651282,0.5911602209944752,random_k3
ecaa0ec1,11,11,121,10,0.08264462809917356,3,3,0,2,5.0,9,1.0,0.7,0.7,0.9,0.9204545454545454,2.886363636363636,1.1875,16.607954545454547,4,1,3,1,3,1,4,1,4,1,4,1,6,162,5,1.9107928562614245,0.5,random_k3
fe9372f3,30,17,510,78,0.15294117647058825,4,1,3,29,2.689655172413793,50,1.0,0.08974358974358974,0.1282051282051282,1.0,0.943502824858757,4.062146892655368,1.0508474576271187,88.31073446327683,26,1,4,1,4,1,60,1,30,1,17,1,6,173,4,1.1208019302617507,0.7052023121387283,row_first
