area,centroid_r,centroid_c,dist_center,boundary_frac,color_frac_among_nonbg,is_rarest_color,is_unique_color,bbox_h,bbox_w,bbox_aspect,fill_ratio,color,n_pixels_same_color_grid,task_id,component_id,n_subjects_touched,n_subjects_total,mean_touch_priority,median_touch_priority
1,14.0,2.0,8.74642784226795,1.0,0.2972972972972973,1.0,0.0,1,1,1.0,1.0,4,33,00d62c1b,21,1,189,0.936046511627907,0.936046511627907
6,16.5,9.0,7.0178344238090995,1.0,0.2972972972972973,1.0,0.0,2,3,0.6666666666666666,1.0,4,33,00d62c1b,22,179,189,0.4158679540513983,0.3951612903225806
16,2.0,13.0,8.276472678623424,1.0,0.5111111111111111,0.0,0.0,5,5,1.0,0.64,2,92,00dbd492,0,2,197,0.5520681731137496,0.5520681731137496
32,5.0,5.0,6.363961030678928,1.0,0.5111111111111111,0.0,0.0,9,9,1.0,0.3950617283950617,2,92,00dbd492,1,28,197,0.33562548481882787,0.14666666666666667
1,2.0,13.0,8.276472678623424,1.0,0.5111111111111111,0.0,0.0,1,1,1.0,1.0,2,92,00dbd492,2,0,197,,
1,5.0,5.0,6.363961030678928,1.0,0.5111111111111111,0.0,0.0,1,1,1.0,1.0,2,92,00dbd492,3,14,197,0.38398490239853805,0.37486795110418025
16,9.0,15.0,5.522680508593631,1.0,0.5111111111111111,0.0,0.0,5,5,1.0,0.64,2,92,00dbd492,4,193,197,0.33251192150855685,0.20202020202020202
1,9.0,15.0,5.522680508593631,1.0,0.5111111111111111,0.0,0.0,1,1,1.0,1.0,2,92,00dbd492,5,187,197,0.5189565462612837,0.4157303370786517
24,15.0,8.0,5.70087712549569,1.0,0.5111111111111111,0.0,0.0,7,7,1.0,0.4897959183673469,2,92,00dbd492,6,17,197,0.3692751457445127,0.36923076923076925
1,15.0,8.0,5.70087712549569,1.0,0.5111111111111111,0.0,0.0,1,1,1.0,1.0,2,92,00dbd492,7,188,197,0.29210821539001325,0.15463917525773196
48,5.0,5.0,6.363961030678928,0.5833333333333334,0.26666666666666666,1.0,1.0,7,7,1.0,0.9795918367346939,3,48,00dbd492,8,193,197,0.29440923626703625,0.42105263157894735
24,15.0,8.0,5.70087712549569,0.8333333333333334,0.13333333333333333,1.0,1.0,5,5,1.0,0.96,4,24,00dbd492,9,192,197,0.24698251172567243,0.0898876404494382
8,2.0,13.0,8.276472678623424,1.0,0.08888888888888889,0.0,0.0,3,3,1.0,0.8888888888888888,8,16,00dbd492,10,1,197,0.475,0.475
8,9.0,15.0,5.522680508593631,1.0,0.08888888888888889,0.0,0.0,3,3,1.0,0.8888888888888888,8,16,00dbd492,11,190,197,0.38145280067706694,0.2707010258915486
16,10.5,4.5,4.949747468305833,1.0,0.18604651162790697,1.0,1.0,4,6,0.6666666666666666,0.6666666666666666,1,16,0a2355a6,0,182,187,0.3632818960302294,0.41237600377893247
22,4.7272727272727275,13.772727272727273,6.204004305405309,1.0,0.2558139534883721,1.0,1.0,8,4,2.0,0.6875,2,22,0a2355a6,1,180,187,0.2720300227682571,0.09411764705882353
20,12.5,13.0,7.433034373659253,1.0,0.23255813953488372,1.0,1.0,4,7,0.5714285714285714,0.7142857142857143,3,20,0a2355a6,2,179,187,0.34669340806855176,0.22988505747126436
28,3.1785714285714284,6.071428571428571,4.280502783743127,1.0,0.32558139534883723,1.0,1.0,5,9,0.5555555555555556,0.6222222222222222,4,28,0a2355a6,3,184,187,0.07509920059327933,0.007814407814407814
11,5.0,5.0,8.0,1.0,0.6,0.0,0.0,11,1,11.0,1.0,3,33,0a938d79,0,194,198,0.06922247503767355,0.0625
11,5.0,15.0,2.0,1.0,0.6,0.0,0.0,11,1,11.0,1.0,3,33,0a938d79,1,0,198,,
11,5.0,25.0,12.0,1.0,0.6,0.0,0.0,11,1,11.0,1.0,3,33,0a938d79,2,0,198,,
11,5.0,10.0,3.0,1.0,0.4,1.0,0.0,11,1,11.0,1.0,4,22,0a938d79,3,193,198,0.14848667756606398,0.14084507042253522
11,5.0,20.0,7.0,1.0,0.4,1.0,0.0,11,1,11.0,1.0,4,22,0a938d79,4,0,198,,
1,0.0,0.0,9.899494936611665,1.0,0.6,0.0,0.0,1,1,1.0,1.0,1,3,0b17323b,0,7,191,0.0,0.0
1,3.0,3.0,5.656854249492381,1.0,0.6,0.0,0.0,1,1,1.0,1.0,1,3,0b17323b,1,10,191,0.21983516483516485,0.25
1,6.0,6.0,1.4142135623730951,1.0,0.6,0.0,0.0,1,1,1.0,1.0,1,3,0b17323b,2,8,191,0.49702380952380953,0.5
1,9.0,9.0,2.8284271247461903,1.0,0.4,1.0,0.0,1,1,1.0,1.0,2,2,0b17323b,3,185,191,0.10537550419903362,0.0
1,12.0,12.0,7.0710678118654755,1.0,0.4,1.0,0.0,1,1,1.0,1.0,2,2,0b17323b,4,185,191,0.9173291996821409,1.0
1,2.0,6.0,2.8284271247461903,1.0,0.058823529411764705,1.0,1.0,1,1,1.0,1.0,1,1,0ca9ddb6,0,4,197,0.5186366435288849,0.5398706896551724
1,3.0,2.0,2.23606797749979,1.0,0.11764705882352941,0.0,0.0,1,1,1.0,1.0,2,2,0ca9ddb6,1,188,197,0.19815306966298293,0.09090909090909091
1,7.0,7.0,4.242640687119285,1.0,0.11764705882352941,0.0,0.0,1,1,1.0,1.0,2,2,0ca9ddb6,2,9,197,0.40137723306582956,0.3958333333333333
1,2.0,1.0,3.605551275463989,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,3,1,197,0.2727272727272727,0.2727272727272727
1,2.0,3.0,2.23606797749979,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,4,11,197,0.19696969696969696,0.0625
1,4.0,1.0,3.0,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,5,1,197,0.09090909090909091,0.09090909090909091
1,4.0,3.0,1.0,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,6,1,197,0.95,0.95
1,6.0,6.0,2.8284271247461903,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,7,188,197,0.51311258409249,0.4
1,6.0,8.0,4.47213595499958,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,8,186,197,0.6789042541160135,0.6363636363636364
1,8.0,6.0,4.47213595499958,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,9,186,197,0.6212399463163981,0.5454545454545454
1,8.0,8.0,5.656854249492381,1.0,0.47058823529411764,0.0,0.0,1,1,1.0,1.0,4,8,0ca9ddb6,10,186,197,0.6741559009742745,0.6153846153846154
1,7.0,1.0,4.242640687119285,1.0,0.058823529411764705,1.0,1.0,1,1,1.0,1.0,6,1,0ca9ddb6,11,29,197,0.3883040974281652,0.391304347826087
1,1.0,6.0,3.605551275463989,1.0,0.23529411764705882,0.0,0.0,1,1,1.0,1.0,7,4,0ca9ddb6,12,6,197,0.6509920634920635,0.6238095238095238
1,2.0,5.0,2.23606797749979,1.0,0.23529411764705882,0.0,0.0,1,1,1.0,1.0,7,4,0ca9ddb6,13,1,197,0.0,0.0
1,2.0,7.0,3.605551275463989,1.0,0.23529411764705882,0.0,0.0,1,1,1.0,1.0,7,4,0ca9ddb6,14,5,197,0.7941666666666667,0.9
1,3.0,6.0,2.23606797749979,1.0,0.23529411764705882,0.0,0.0,1,1,1.0,1.0,7,4,0ca9ddb6,15,0,197,,
1,5.0,5.0,1.4142135623730951,1.0,0.058823529411764705,1.0,1.0,1,1,1.0,1.0,8,1,0ca9ddb6,16,11,197,0.2861891298494169,0.21052631578947367
3,1.0,1.0,0.0,1.0,0.5,1.0,1.0,3,1,3.0,1.0,5,3,0d3d703e,0,197,197,0.11908071396035022,0.125
3,1.0,0.0,1.0,1.0,0.5,1.0,1.0,3,1,3.0,1.0,9,3,0d3d703e,1,196,197,0.004464285714285714,0.0
175,9.565714285714286,10.508571428571429,2.069186964456704,0.7028571428571428,0.9020618556701031,1.0,1.0,23,25,0.92,0.30434782608695654,1,175,0d87d2a6,0,183,184,0.01640677742609472,0.012448132780082987
6,7.0,22.5,11.236102527122116,1.0,0.0979381443298969,0.0,0.0,3,2,1.5,1.0,2,19,0d87d2a6,1,8,184,0.3990610784105152,0.3846912362874399
9,17.0,22.0,11.661903789690601,0.8888888888888888,0.0979381443298969,0.0,0.0,3,3,1.0,1.0,2,19,0d87d2a6,2,2,184,0.3874524869995103,0.3874524869995103
4,18.5,17.5,9.300537618869138,1.0,0.0979381443298969,0.0,0.0,2,2,1.0,1.0,2,19,0d87d2a6,3,4,184,0.7401993024336911,0.8797837025283421
1,5.0,1.0,5.0990195135927845,1.0,0.041666666666666664,1.0,1.0,1,1,1.0,1.0,2,1,0e671a1a,0,7,198,0.4667553300334397,0.4142857142857143
1,11.0,7.0,5.0990195135927845,1.0,0.041666666666666664,1.0,1.0,1,1,1.0,1.0,3,1,0e671a1a,1,10,198,0.3918608215733275,0.36508072827207144
1,2.0,10.0,5.656854249492381,1.0,0.041666666666666664,1.0,1.0,1,1,1.0,1.0,4,1,0e671a1a,2,7,198,0.6724697041557678,0.6333333333333333
21,5.0,7.0,1.4142135623730951,0.9523809523809523,0.875,1.0,1.0,9,9,1.0,0.25925925925925924,5,21,0e671a1a,3,196,198,0.14378820387947183,0.13043478260869565
3,3.3333333333333335,0.6666666666666666,2.838231060987734,1.0,0.1875,0.0,0.0,2,2,1.0,0.75,1,6,12eac192,0,133,161,0.32914134206638923,0.2777777777777778
3,6.666666666666667,2.3333333333333335,3.3747427885527648,1.0,0.1875,0.0,0.0,2,2,1.0,0.75,1,6,12eac192,1,117,161,0.5134403059680317,0.4942528735632184
5,1.2,1.0,3.3970575502926055,1.0,0.59375,0.0,0.0,3,3,1.0,0.5555555555555556,3,19,12eac192,2,149,161,0.10500824285509633,0.0
5,0.4,4.6,3.2893768406797053,1.0,0.59375,0.0,0.0,2,4,0.5,0.625,3,19,12eac192,3,132,161,0.31843791213130557,0.2777777777777778
1,0.0,7.0,4.949747468305833,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,4,3,161,0.3727000427899016,0.17073170731707318
1,2.0,7.0,3.8078865529319543,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,5,68,161,0.4062916412588106,0.3405797101449275
1,3.0,5.0,1.5811388300841898,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,6,10,161,0.5329002370178841,0.625
1,4.0,7.0,3.5355339059327378,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,7,8,161,0.40932017543859645,0.20964912280701753
1,5.0,1.0,2.9154759474226504,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,8,127,161,0.4228569680762729,0.38461538461538464
1,5.0,4.0,1.5811388300841898,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,9,72,161,0.48864865601543755,0.4707692307692308
1,6.0,0.0,4.301162633521313,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,10,5,161,0.6953836846758807,0.9230769230769231
1,6.0,6.0,3.5355339059327378,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,11,122,161,0.5015164318488974,0.4583333333333333
1,7.0,5.0,3.8078865529319543,1.0,0.59375,0.0,0.0,1,1,1.0,1.0,3,19,12eac192,12,17,161,0.6113422983113536,0.6421052631578947
4,3.75,3.75,0.3535533905932738,1.0,0.125,1.0,1.0,2,3,0.6666666666666666,0.6666666666666666,5,4,12eac192,13,129,161,0.4448918881758705,0.3888888888888889
3,6.0,7.0,4.301162633521313,1.0,0.09375,1.0,1.0,3,1,3.0,1.0,7,3,12eac192,14,129,161,0.5004662564151139,0.4444444444444444
21,8.714285714285714,4.0,8.504800565155024,1.0,0.328125,1.0,1.0,19,3,6.333333333333333,0.3684210526315789,2,21,1a07d186,0,29,188,0.31347004148056423,0.2727272727272727
22,9.636363636363637,11.045454545454545,1.5876590178702714,1.0,0.34375,1.0,1.0,19,3,6.333333333333333,0.38596491228070173,3,22,1a07d186,1,180,188,0.46483085317961403,0.37566137566137564
21,9.19047619047619,20.0,7.502418355379705,1.0,0.328125,1.0,1.0,19,3,6.333333333333333,0.3684210526315789,4,21,1a07d186,2,0,188,,
31,4.387096774193548,5.419354838709677,0.9262615493781435,0.9032258064516129,0.775,1.0,1.0,10,8,1.25,0.3875,1,31,1b60fb0c,0,192,192,0.05270763311647229,0.0
9,4.888888888888889,1.3333333333333333,3.1904564478580513,0.8888888888888888,0.225,1.0,1.0,5,4,1.25,0.45,2,9,1b60fb0c,1,13,192,0.2702939643188007,0.05
26,1.3846153846153846,4.5,3.1153846153846154,1.0,0.5,1.0,1.0,5,10,0.5,0.52,2,26,1bfc4729,0,182,184,0.025043686353958237,0.0
26,7.615384615384615,4.5,3.115384615384615,1.0,0.5,1.0,1.0,5,10,0.5,0.52,8,26,1bfc4729,1,182,184,0.12690939082352024,0.11932203389830509
35,3.0,10.0,5.0,0.5714285714285714,0.20710059171597633,1.0,1.0,5,7,0.7142857142857143,1.0,1,35,1c02dbbe,0,192,193,0.09882082782262347,0.044539958435669755
18,10.5,12.0,6.103277807866851,0.7777777777777778,0.10650887573964497,1.0,1.0,6,3,2.0,1.0,3,18,1c02dbbe,1,190,193,0.4416858962383341,0.5103479853479853
56,7.303571428571429,7.196428571428571,0.36157958448779626,0.7857142857142857,0.33136094674556216,1.0,1.0,13,13,1.0,0.33136094674556216,5,56,1c02dbbe,2,191,193,0.0416718545648221,0.03225806451612903
28,4.0,2.5,5.408326913195984,0.6428571428571429,0.16568047337278108,1.0,1.0,7,4,1.75,1.0,6,28,1c02dbbe,3,192,193,0.0213673024301597,0.0
32,11.5,4.5,5.1478150704935,0.625,0.1893491124260355,1.0,1.0,4,8,0.5,1.0,7,32,1c02dbbe,4,192,193,0.2809562360366904,0.2673906031609504
3,1.3333333333333333,2.3333333333333335,5.934831271588286,1.0,1.0,1.0,0.0,2,2,1.0,0.75,2,30,1c0d0a4b,0,172,185,0.020497507471065466,0.007753801767145518
1,1.0,6.0,5.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,1,163,185,0.6517936612620294,0.7021276595744681
2,1.5,9.0,5.408326913195984,1.0,1.0,1.0,0.0,2,1,2.0,1.0,2,30,1c0d0a4b,2,164,185,0.7222691881377715,0.7926829268292683
1,1.0,11.0,7.0710678118654755,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,3,163,185,0.25743345961466574,0.2558139534883721
2,3.0,6.5,3.0413812651491097,1.0,1.0,1.0,0.0,1,2,0.5,1.0,2,30,1c0d0a4b,4,166,185,0.6368112955690969,0.6473465558831413
1,3.0,10.0,5.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,5,165,185,0.25043706400499355,0.25
1,5.0,2.0,4.123105625617661,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,6,164,185,0.5017871691882126,0.4625
3,5.333333333333333,6.666666666666667,0.9428090415820638,1.0,1.0,1.0,0.0,2,2,1.0,0.75,2,30,1c0d0a4b,7,173,185,0.22590664038787428,0.18518518518518517
1,6.0,5.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,8,166,185,0.23310841303364113,0.18443110534285095
1,6.0,10.0,4.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,9,165,185,0.7243364522634235,0.7530864197530864
1,7.0,1.0,5.0990195135927845,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,10,163,185,0.5400906299261549,0.5061728395061729
1,7.0,6.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,11,164,185,0.23672148986377803,0.18786764705882353
1,7.0,9.0,3.1622776601683795,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,12,164,185,0.757008658336418,0.7888117283950618
1,7.0,11.0,5.0990195135927845,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,13,165,185,0.7407442908182214,0.7391304347826086
1,9.0,6.0,3.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,14,164,185,0.6640730960250022,0.6375
2,9.0,9.5,4.6097722286464435,1.0,1.0,1.0,0.0,1,2,0.5,1.0,2,30,1c0d0a4b,15,170,185,0.27679026590183614,0.26176470588235295
2,10.5,3.0,5.408326913195984,1.0,1.0,1.0,0.0,2,1,2.0,1.0,2,30,1c0d0a4b,16,170,185,0.14738554300715312,0.1
1,10.0,7.0,4.123105625617661,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,17,166,185,0.6848488214468976,0.6566492450638792
1,11.0,1.0,7.0710678118654755,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,18,162,185,0.18161725529517264,0.10975609756097561
1,11.0,5.0,5.0990195135927845,1.0,1.0,1.0,0.0,1,1,1.0,1.0,2,30,1c0d0a4b,19,163,185,0.6577299225414258,0.625
2,11.0,10.5,6.726812023536855,1.0,1.0,1.0,0.0,1,2,0.5,1.0,2,30,1c0d0a4b,20,169,185,0.2968097225239672,0.27710843373493976
4,2.5,1.5,3.605551275463989,1.0,0.3333333333333333,1.0,0.0,2,2,1.0,1.0,1,5,1caeab9d,0,91,186,0.2837780213170759,0.24489795918367346
1,4.0,0.0,4.527692569068709,1.0,0.3333333333333333,1.0,0.0,1,1,1.0,1.0,1,5,1caeab9d,1,2,186,0.4358001265022138,0.4358001265022138
4,2.5,8.5,4.47213595499958,1.0,0.3333333333333333,1.0,0.0,2,2,1.0,1.0,2,5,1caeab9d,2,19,186,0.5472858191655184,0.5
1,4.0,7.0,2.5495097567963922,1.0,0.3333333333333333,1.0,0.0,1,1,1.0,1.0,2,5,1caeab9d,3,65,186,0.5005933887141959,0.49230769230769234
4,2.5,4.5,2.0,1.0,0.3333333333333333,1.0,0.0,2,2,1.0,1.0,4,5,1caeab9d,4,174,186,0.14721318559843632,0.03603896103896104
1,4.0,3.0,1.5811388300841898,1.0,0.3333333333333333,1.0,0.0,1,1,1.0,1.0,4,5,1caeab9d,5,136,186,0.2795884281923359,0.14285714285714285
2,3.5,1.0,1.8027756377319946,1.0,0.2222222222222222,1.0,1.0,2,1,2.0,1.0,2,2,1e0a9b12,0,15,191,0.6154349756879801,0.6666666666666666
1,4.0,4.0,2.8284271247461903,1.0,0.1111111111111111,1.0,1.0,1,1,1.0,1.0,3,1,1e0a9b12,1,183,191,0.771781743865829,0.8888888888888888
2,3.5,3.0,1.8027756377319946,1.0,0.2222222222222222,1.0,1.0,2,1,2.0,1.0,4,2,1e0a9b12,2,79,191,0.673906148746043,0.75
3,3.0,0.0,2.23606797749979,1.0,0.3333333333333333,1.0,1.0,3,1,3.0,1.0,5,3,1e0a9b12,3,132,191,0.6566132200806399,0.7777777777777778
1,4.0,2.0,2.0,1.0,0.1111111111111111,1.0,1.0,1,1,1.0,1.0,6,1,1e0a9b12,4,5,191,0.39834362418802644,0.47058823529411764
8,2.0,2.0,8.48528137423857,1.0,0.1323529411764706,1.0,0.0,3,3,1.0,0.8888888888888888,4,18,1e32b0e9,0,20,186,0.3564026994540224,0.2771929824561403
2,1.0,7.5,7.0178344238090995,1.0,0.1323529411764706,1.0,0.0,1,2,0.5,1.0,4,18,1e32b0e9,1,153,186,0.30089874282424034,0.24561403508771928
1,7.0,2.0,6.082762530298219,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,2,163,186,0.17839629983707447,0.09259259259259259
1,8.0,1.0,7.0,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,3,11,186,0.5611429726236541,0.6120218579234973
1,8.0,3.0,5.0,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,4,162,186,0.1776455732458676,0.05660377358490566
1,9.0,2.0,6.082762530298219,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,5,163,186,0.16376660602656043,0.06666666666666667
2,9.0,7.5,1.118033988749895,1.0,0.1323529411764706,1.0,0.0,1,2,0.5,1.0,4,18,1e32b0e9,6,161,186,0.3621592016178856,0.3333333333333333
1,14.0,7.0,6.082762530298219,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,7,163,186,0.5425985476556813,0.5272727272727272
1,14.0,9.0,6.082762530298219,1.0,0.1323529411764706,1.0,0.0,1,1,1.0,1.0,4,18,1e32b0e9,8,158,186,0.5555762891310083,0.5471698113207547
64,8.0,8.0,0.0,0.9375,0.8676470588235294,0.0,0.0,17,17,1.0,0.22145328719723184,9,118,1e32b0e9,9,24,186,0.20937315598514836,0.14677942539388322
6,2.3333333333333335,8.166666666666666,5.669117117231649,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.6666666666666666,9,118,1e32b0e9,10,155,186,0.29691531377589203,0.22807017543859648
8,2.0,14.0,8.48528137423857,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.8888888888888888,9,118,1e32b0e9,11,167,186,0.43946241136414504,0.41509433962264153
1,7.0,1.0,7.0710678118654755,1.0,0.8676470588235294,0.0,0.0,1,1,1.0,1.0,9,118,1e32b0e9,12,12,186,0.37009519960698317,0.2027825424051839
1,7.0,3.0,5.0990195135927845,1.0,0.8676470588235294,0.0,0.0,1,1,1.0,1.0,9,118,1e32b0e9,13,163,186,0.18047208838092557,0.07547169811320754
6,7.666666666666667,8.166666666666666,0.3726779962499644,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.6666666666666666,9,118,1e32b0e9,14,169,186,0.3281487722921334,0.2962962962962963
8,8.0,14.0,6.0,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.8888888888888888,9,118,1e32b0e9,15,166,186,0.4714997165465481,0.4536878216123499
1,9.0,1.0,7.0710678118654755,1.0,0.8676470588235294,0.0,0.0,1,1,1.0,1.0,9,118,1e32b0e9,16,162,186,0.1528734436663122,0.050706033376123234
1,9.0,3.0,5.0990195135927845,1.0,0.8676470588235294,0.0,0.0,1,1,1.0,1.0,9,118,1e32b0e9,17,161,186,0.1757062308076016,0.05660377358490566
8,14.0,2.0,8.48528137423857,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.8888888888888888,9,118,1e32b0e9,18,162,186,0.33487064664369787,0.2368421052631579
3,13.0,8.0,5.0,1.0,0.8676470588235294,0.0,0.0,1,3,0.3333333333333333,1.0,9,118,1e32b0e9,19,163,186,0.4959317509018217,0.4642857142857143
8,14.0,14.0,8.48528137423857,1.0,0.8676470588235294,0.0,0.0,3,3,1.0,0.8888888888888888,9,118,1e32b0e9,20,162,186,0.6141806417192287,0.6037735849056604
3,15.0,8.0,7.0,1.0,0.8676470588235294,0.0,0.0,1,3,0.3333333333333333,1.0,9,118,1e32b0e9,21,160,186,0.5356988142293002,0.5273088381330685
24,2.125,5.875,2.6516504294495533,0.75,1.0,1.0,1.0,7,7,1.0,0.4897959183673469,8,24,1f0c79e5,0,119,194,0.23326297174800434,0.16129032258064516
1,0.0,5.0,4.527692569068709,1.0,0.08695652173913043,0.0,0.0,1,1,1.0,1.0,2,2,1f642eb9,0,33,191,0.5135525914891654,0.45
1,3.0,5.0,1.5811388300841898,1.0,0.08695652173913043,0.0,0.0,1,1,1.0,1.0,2,2,1f642eb9,1,12,191,0.542801097549872,0.6071428571428572
1,5.0,0.0,4.527692569068709,1.0,0.08695652173913043,0.0,0.0,1,1,1.0,1.0,3,2,1f642eb9,2,35,191,0.41192487258823657,0.391304347826087
